epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,345.043,0.67586,0.35645,0.89839,0.9214,0.93195,0.9681,0.85501,0.61576,0.33461,0.88031,0.00023525,0.00023525,0.00023525
43,503.424,0.66791,0.3509,0.89366,0.93543,0.9156,0.97007,0.86143,0.61588,0.33273,0.87774,0.0002105,0.0002105,0.0002105
44,657.468,0.66628,0.34747,0.89432,0.92334,0.92567,0.9677,0.86033,0.61277,0.32967,0.87763,0.00018575,0.00018575,0.00018575
45,808.882,0.6601,0.34316,0.89098,0.96135,0.89664,0.96956,0.86304,0.61251,0.32849,0.87753,0.000161,0.000161,0.000161
46,1034.45,0.65702,0.3406,0.88877,0.95088,0.9145,0.96893,0.85998,0.61297,0.32816,0.87553,0.00013625,0.00013625,0.00013625
47,1211.33,0.65343,0.33803,0.88821,0.92294,0.93492,0.96877,0.8626,0.60698,0.32547,0.87443,0.0001115,0.0001115,0.0001115
48,1370.22,0.65231,0.33537,0.88791,0.94719,0.91824,0.97172,0.86564,0.60648,0.32383,0.87378,8.675e-05,8.675e-05,8.675e-05
49,1520.98,0.64714,0.33029,0.88606,0.93328,0.931,0.97077,0.86621,0.60434,0.32404,0.87343,6.2e-05,6.2e-05,6.2e-05
50,1672.12,0.64474,0.32899,0.88402,0.94068,0.92648,0.97153,0.86622,0.60404,0.32218,0.87321,3.725e-05,3.725e-05,3.725e-05
1,109.157,1.05309,1.20871,1.03042,0.68508,0.67577,0.67878,0.50991,0.88195,1.00727,0.96244,0.000416309,0.000416309,0.000416309
2,215.895,0.97338,0.78704,1.00074,0.81886,0.76461,0.83068,0.65679,0.83769,0.63928,0.9601,0.000816483,0.000816483,0.000816483
3,328.961,0.95344,0.71737,0.9971,0.84539,0.80261,0.86398,0.67986,0.84502,0.58491,0.96099,0.00120016,0.00120016,0.00120016
4,440.018,0.92322,0.6688,0.9879,0.83133,0.80354,0.87477,0.71532,0.78129,0.55955,0.93836,0.00117575,0.00117575,0.00117575
5,551.471,0.8933,0.6271,0.97621,0.9071,0.79365,0.8949,0.73889,0.76996,0.55398,0.93817,0.001151,0.001151,0.001151
6,658.298,0.87259,0.60182,0.97042,0.89433,0.81147,0.91455,0.75642,0.74616,0.49446,0.92652,0.00112625,0.00112625,0.00112625
7,764.644,0.85784,0.58046,0.96438,0.88823,0.87077,0.91777,0.77207,0.73388,0.48591,0.92041,0.0011015,0.0011015,0.0011015
8,871.329,0.84415,0.56794,0.95935,0.87438,0.86411,0.91508,0.75372,0.76219,0.50035,0.92455,0.00107675,0.00107675,0.00107675
9,977.482,0.834,0.55207,0.95333,0.90709,0.86705,0.93277,0.78323,0.71466,0.45495,0.91184,0.001052,0.001052,0.001052
10,1083.25,0.82885,0.54364,0.95209,0.91548,0.81611,0.91459,0.77095,0.72455,0.47512,0.91443,0.00102725,0.00102725,0.00102725
11,1189.01,0.81861,0.53055,0.94895,0.8799,0.90075,0.94545,0.79426,0.71426,0.44187,0.91545,0.0010025,0.0010025,0.0010025
12,1294.69,0.81014,0.5215,0.94646,0.91198,0.8351,0.92346,0.7807,0.70792,0.44772,0.91445,0.00097775,0.00097775,0.00097775
13,1400.08,0.80238,0.51438,0.94311,0.88922,0.87869,0.93555,0.80485,0.69369,0.43076,0.90541,0.000953,0.000953,0.000953
14,1505.89,0.79945,0.50942,0.94309,0.87494,0.86515,0.93453,0.79741,0.68635,0.42194,0.90403,0.00092825,0.00092825,0.00092825
15,1613.52,0.7899,0.50094,0.93824,0.89461,0.89824,0.95182,0.81831,0.68391,0.41551,0.9031,0.0009035,0.0009035,0.0009035
16,1722.5,0.78419,0.49298,0.93786,0.92962,0.87454,0.95322,0.81588,0.68548,0.41713,0.90322,0.00087875,0.00087875,0.00087875
17,1831.72,0.78007,0.48809,0.93597,0.90743,0.87562,0.94188,0.81114,0.67374,0.41043,0.90239,0.000854,0.000854,0.000854
18,1938.59,0.77521,0.48262,0.9333,0.92976,0.88475,0.95099,0.81852,0.66983,0.40015,0.89846,0.00082925,0.00082925,0.00082925
19,2044.15,0.76919,0.47551,0.93225,0.93917,0.88825,0.96301,0.83061,0.66506,0.39146,0.89709,0.0008045,0.0008045,0.0008045
20,2150.94,0.77021,0.47061,0.93288,0.90193,0.91413,0.96032,0.82817,0.66405,0.38808,0.89589,0.00077975,0.00077975,0.00077975
21,2256.91,0.76216,0.46756,0.9277,0.92361,0.91328,0.96526,0.83288,0.66149,0.38877,0.89505,0.000755,0.000755,0.000755
22,2363.9,0.75652,0.46162,0.92668,0.90995,0.9148,0.96174,0.83356,0.65943,0.3867,0.89404,0.00073025,0.00073025,0.00073025
23,2470.19,0.75436,0.45643,0.92548,0.92324,0.90216,0.96172,0.83126,0.65207,0.38497,0.89137,0.0007055,0.0007055,0.0007055
24,2576.78,0.75214,0.4537,0.92393,0.93392,0.90805,0.96438,0.84064,0.65056,0.37545,0.89217,0.00068075,0.00068075,0.00068075
25,2683.28,0.74364,0.44636,0.9239,0.91674,0.91758,0.96478,0.83823,0.64489,0.36829,0.88902,0.000656,0.000656,0.000656
26,2789.62,0.73994,0.44364,0.92114,0.92901,0.91286,0.96678,0.84051,0.645,0.37048,0.89002,0.00063125,0.00063125,0.00063125
27,2896.58,0.73837,0.43708,0.92025,0.93635,0.91256,0.9691,0.84435,0.64908,0.36746,0.89029,0.0006065,0.0006065,0.0006065
28,3003.53,0.73633,0.43611,0.91887,0.93385,0.92478,0.96849,0.84337,0.63813,0.36354,0.88565,0.00058175,0.00058175,0.00058175
29,3109.51,0.73431,0.43485,0.92012,0.95565,0.91086,0.9712,0.84702,0.63748,0.36108,0.88398,0.000557,0.000557,0.000557
30,3215.61,0.72585,0.42847,0.91576,0.95521,0.90202,0.96726,0.85063,0.63478,0.36085,0.88557,0.00053225,0.00053225,0.00053225
31,3323.17,0.7247,0.42402,0.91468,0.95527,0.88695,0.96311,0.85206,0.63407,0.36173,0.88363,0.0005075,0.0005075,0.0005075
32,3432.69,0.72261,0.42243,0.91505,0.94227,0.91016,0.96902,0.8508,0.6321,0.35386,0.88209,0.00048275,0.00048275,0.00048275
33,3542.03,0.71769,0.41832,0.91392,0.94187,0.91197,0.96934,0.85348,0.62473,0.35353,0.88406,0.000458,0.000458,0.000458
34,3649.1,0.71328,0.4117,0.91068,0.94674,0.92296,0.97129,0.85608,0.62473,0.35056,0.88247,0.00043325,0.00043325,0.00043325
35,3755.04,0.71202,0.41028,0.91254,0.94746,0.91754,0.97052,0.8565,0.62526,0.34797,0.88503,0.0004085,0.0004085,0.0004085
36,3861.25,0.70919,0.4071,0.91118,0.96046,0.89868,0.96812,0.85536,0.61851,0.34443,0.88041,0.00038375,0.00038375,0.00038375
37,3968.12,0.70836,0.40573,0.9107,0.95776,0.8995,0.96902,0.85421,0.62433,0.34389,0.88363,0.000359,0.000359,0.000359
38,4075.93,0.70447,0.40361,0.90814,0.95277,0.91707,0.97329,0.85743,0.61777,0.33816,0.87855,0.00033425,0.00033425,0.00033425
39,4181.92,0.69825,0.39842,0.9067,0.94829,0.91389,0.96913,0.85864,0.617,0.34251,0.87804,0.0003095,0.0003095,0.0003095
40,4288.01,0.7005,0.39743,0.90769,0.96074,0.90545,0.96979,0.86003,0.61713,0.34127,0.8792,0.00028475,0.00028475,0.00028475
41,4412.43,0.67774,0.3603,0.8995,0.94675,0.92332,0.97148,0.86068,0.61724,0.33697,0.88186,0.00026,0.00026,0.00026
42,4518.62,0.67029,0.35258,0.89704,0.94743,0.92826,0.9699,0.86085,0.61519,0.33534,0.87903,0.00023525,0.00023525,0.00023525
43,4626.5,0.6671,0.34949,0.89481,0.95061,0.91793,0.97089,0.86414,0.61145,0.33115,0.87797,0.0002105,0.0002105,0.0002105
44,4733.09,0.65996,0.34472,0.89121,0.94786,0.91933,0.97233,0.86348,0.60851,0.32972,0.87796,0.00018575,0.00018575,0.00018575
45,4838.07,0.65647,0.34097,0.89104,0.96553,0.91683,0.9747,0.86743,0.60447,0.3269,0.87524,0.000161,0.000161,0.000161
46,4942.53,0.65121,0.3365,0.88983,0.96622,0.91641,0.9726,0.86564,0.60417,0.32624,0.87669,0.00013625,0.00013625,0.00013625
47,5046.8,0.64808,0.33288,0.88761,0.96171,0.92429,0.97511,0.86828,0.60427,0.32498,0.8757,0.0001115,0.0001115,0.0001115
48,5152.28,0.64602,0.33149,0.88663,0.95867,0.92494,0.97166,0.86857,0.6031,0.3258,0.87598,8.675e-05,8.675e-05,8.675e-05
49,5260.28,0.64161,0.32721,0.88477,0.9683,0.91582,0.97523,0.86934,0.60176,0.32267,0.87606,6.2e-05,6.2e-05,6.2e-05
50,5369.42,0.63848,0.32626,0.88452,0.95431,0.92609,0.97557,0.87243,0.60104,0.32153,0.87491,3.725e-05,3.725e-05,3.725e-05
